"","V1","V2","V3","V4","V5"
"1",0.0584689572031344,0.0174804098854732,0.778782399035564,0.0861965039180229,0.0590717299578059
"2",0.151898734177215,0.227848101265823,0.265822784810127,0.151898734177215,0.20253164556962
"3",0.10625,0.040625,0.15625,0.575,0.121875
"4",0.287978863936592,0.112285336856011,0.136063408190225,0.266182298546896,0.197490092470277
"5",0.092533211177279,0.0398534127347687,0.118185982592762,0.1099404489235,0.63948694457169
"6",0.603674540682415,0.05249343832021,0.0748031496062992,0.206036745406824,0.062992125984252
"7",0.037292817679558,0.0566298342541436,0.207182320441989,0.523480662983425,0.175414364640884
"8",0.469985358711567,0.121522693997072,0.111273792093704,0.231332357247438,0.0658857979502196
"9",0.127195639006663,0.108419139915203,0.0938824954572986,0.391883706844337,0.278619018776499
"10",0.0558086560364465,0.0375854214123007,0.0789673500379651,0.0960516324981018,0.731586940015186
"11",0.10880829015544,0.38860103626943,0.282383419689119,0.126943005181347,0.0932642487046632
"12",0.124600638977636,0.348242811501597,0.198083067092652,0.188498402555911,0.140575079872204
"13",0.0958333333333333,0.0875,0.0930555555555556,0.634722222222222,0.0888888888888889
"14",0.642775881683732,0.0853242320819113,0.119453924914676,0.0944254835039818,0.0580204778156997
"15",0.132098765432099,0.0444444444444444,0.519753086419753,0.271604938271605,0.0320987654320988
"16",0.108269394714407,0.0554134697357204,0.190963341858483,0.577152600170503,0.0682011935208866
"17",0.042962962962963,0.0740740740740741,0.152592592592593,0.614814814814815,0.115555555555556
"18",0.0394574599260173,0.45252774352651,0.1134401972873,0.268803945745993,0.12577065351418
"19",0.0777777777777778,0.516049382716049,0.117283950617284,0.160493827160494,0.128395061728395
"20",0.11530612244898,0.104081632653061,0.603061224489796,0.0877551020408163,0.0897959183673469
"21",0.389518413597734,0.131728045325779,0.186968838526912,0.202549575070822,0.0892351274787535
"22",0.0964391691394659,0.501483679525223,0.072700296735905,0.0816023738872404,0.247774480712166
"23",0.142857142857143,0.178571428571429,0.142857142857143,0.178571428571429,0.357142857142857
"24",0.116154873164219,0.550066755674232,0.0814419225634179,0.0654205607476635,0.186915887850467
"25",0.0480404551201011,0.102402022756005,0.13527180783818,0.633375474083439,0.0809102402022756
"26",0.465587044534413,0.0796221322537112,0.221322537112011,0.120107962213225,0.11336032388664
"27",0.0583738707435719,0.0396108408617095,0.727588603196664,0.102154273801251,0.0722724113968033
"28",0.0531135531135531,0.643772893772894,0.172161172161172,0.0558608058608059,0.0750915750915751
"29",0.440366972477064,0.0660550458715596,0.132110091743119,0.141284403669725,0.220183486238532
"30",0.568298969072165,0.105670103092784,0.115979381443299,0.125,0.0850515463917526
